kind,rho,mean_s,max_s,p90_s,C,kappa,C_kappa,GUARD
diffuse,0.20176700999524094,0.5047250750532664,0.9986505040483626,0.986365256311566,0.3150334395366376,0.020868668277036706,0.00657432834586399,0.32160776788250156
structured,0.22327279105957293,0.5226132088320911,0.9995681303381686,0.9889836238972112,0.32944964650650904,0.1140899030500575,0.03758687822980333,0.3670365247363124
diffuse,0.22327279105957293,0.5334928149748012,0.9985051589988772,0.9832291189535952,0.33837667697311036,0.020050916941286245,0.006784762644856282,0.34516143961796664
structured,0.2913083290347369,0.5791989276576502,0.9996590975253866,0.9952814075291725,0.37729077208906536,0.1569343994860477,0.05920990074942476,0.43650067283849014
diffuse,0.2913083290347369,0.551669926374504,0.9995363867199546,0.9938426012802487,0.3535719595299948,0.02101669012553442,0.007430912310519898,0.3610028718405147
structured,0.4851427586750252,0.66680248523248,0.99977852285748,0.9945857719097597,0.4592837502339461,0.24096011917073978,0.11066906718955594,0.569952817423502
diffuse,0.4851427586750252,0.6794453361169606,0.9993828995769367,0.9961003202155483,0.47206126248931796,0.026621822396178607,0.012567131090106473,0.48462839357942444
structured,0.46933048667787725,0.6784817941224394,0.9995203836658094,0.9959069130798374,0.47107803445911856,0.22826290868619237,0.10752964236381277,0.5786076768229313
diffuse,0.46933048667787725,0.6570752172451414,0.9992471365920387,0.9942125953485234,0.4496302416258067,0.020802185733975742,0.009353291797912423,0.45898353342371917
structured,0.44363363315407295,0.641940200243489,0.9995068191293789,0.9952109654560592,0.4349028458804054,0.2247847496830846,0.09775952734768804,0.5326623732280934
diffuse,0.44363363315407295,0.6535234638171562,0.999660816367132,0.995805227567419,0.44614264165101725,0.025067104511030225,0.011183504225093156,0.4573261458761104
structured,0.3965855531033237,0.6136820564073938,0.9986523204764918,0.9939190719501225,0.40830213516618785,0.21811371956303383,0.08905629740662582,0.49735843257281365
diffuse,0.3965855531033237,0.606710916400997,0.9997839770602063,0.9939274946039074,0.4019093221601263,0.020185297876210262,0.008112659387027904,0.4100219815471542
structured,0.24130233942268053,0.5297913961394355,0.998994100730894,0.9911226294680577,0.33532573857417036,0.12321362610730957,0.04131670017683526,0.3766424387510056
diffuse,0.24130233942268053,0.5403228872426039,0.9995266081749098,0.9915596418500081,0.3440444799392891,0.01923075763736637,0.006616236010186224,0.35066071594947534
structured,0.24546162590579207,0.5336635392327378,0.9996043191698297,0.9919439938265867,0.3385177458301859,0.12319710998368472,0.04170440796447044,0.38022215379465635
diffuse,0.24546162590579207,0.5290581267793394,0.9998049390257132,0.9906840168376703,0.33472303390156033,0.02216885842162497,0.0074204275490204665,0.3421434614505808
structured,0.2537380272463405,0.5413799052483735,0.9989195844667964,0.9908997538672282,0.3449260826613503,0.1402517663380698,0.048376492349325444,0.3933025750106757
diffuse,0.2537380272463405,0.5150485677882285,0.9994274671001346,0.9922797739141849,0.3233142168422668,0.019985838503289277,0.006461705723626994,0.3297759225658938
structured,0.36777490314009964,0.6044519233277136,0.9997317816380068,0.995218044829741,0.39985153072367163,0.19879993850447752,0.07949045971878713,0.47934199044245873
diffuse,0.36777490314009964,0.6106564133230986,0.9994331396390942,0.9945432964562411,0.4055195482342332,0.019744505820315394,0.008006783080362487,0.4135263313145957
