group,n,true_noise,mean_1mp,p90_1mp,mean_ent,C_full,C_proj,out_mass,Cproj_kappa
Allegro > Automotive > Car Parts > Exhaust system,422,0.02843601895734597,0.45652177929878235,0.9844856262207031,2.1455588340759277,0.24597787416615047,0.009848483204222302,0.40348016424766653,0.004284117108865708
Allegro > Beauty > Care > Shaving and hair removal,412,0.12378640776699029,0.9679984450340271,0.9998202323913574,5.123090744018555,0.8510972190092756,0.16685185447524814,0.9385360540116875,0.13896647760565328
Allegro > Kids > Toys > Anti-stress,412,0.0048543689320388345,0.21269498765468597,0.9629364013671875,1.101884365081787,0.10911233565414948,0.010776302553533842,0.1856482286476394,0.010776302553104265
"Allegro > Electronics > Audio, Video and Household Appliances > Car Audio Equipment",411,0.021897810218978103,0.6155014038085938,0.99884033203125,2.994983434677124,0.3074071947905302,0.05621083157471578,0.44613892782633613,0.05621083156823859
Allegro > Fashion > Jewelry and Watches > Accessories for Watches,408,0.23529411764705882,0.4975111782550812,0.9971914291381836,2.3812053203582764,0.3077980755671684,0.032785482774053486,0.46824825175252616,0.032785482771525536
Allegro > Collections and Art > Antiques and Art > Art Supplies,405,0.36790123456790125,0.9386610984802246,0.999863862991333,4.396175861358643,0.7764656806038998,0.16012320886300693,0.8933586364910926,0.13925110615518657
Allegro > Home and Garden > Construction Work and Equipment > Roofs,401,0.3541147132169576,0.8647530674934387,0.9998782277107239,4.016141891479492,0.7526293121442501,0.27689893182393976,0.8567505145905321,0.2768989317920326
Allegro > Collections and Art > Collections > Tobacco Accessories,393,0.6717557251908397,0.5291934609413147,0.999809980392456,3.1871583461761475,0.398059833521247,0.16815263661939525,0.4743589887788884,0.1502489690974033
Allegro > Home and Garden > Garden > Fertilizers and Chemicals,387,0.13178294573643412,0.6887322664260864,0.9988119006156921,4.006217956542969,0.5028527363846678,0.13120781359874506,0.6465566226062233,0.13120781358973468
Allegro > Home and Garden > Garden > Swimming Pools and Accessories,379,0.3562005277044855,0.7943893074989319,0.9996270537376404,4.989373207092285,0.6236759835438203,0.22633687322996238,0.7407393924164583,0.1815091291668761
Allegro > Automotive > Motorcycle Parts and Equipment > Helmets and accessories,370,0.005405405405405406,0.12831342220306396,0.3655761778354645,0.8661819696426392,0.07274446110901243,0.007749482815406251,0.12536198609584082,0.007749482815097332
Allegro > Supermarket > Pet Supplies > Rodents and Rabbits,359,0.1392757660167131,0.8168700337409973,0.9996466636657715,4.493034362792969,0.6816317971156829,0.23842738904630217,0.7948686439014743,0.238427389020552
